company,sector,website,country,opportunity_type,source,source_url,source_type,signals,tech_stack,buying_intent_signals,partnership_signals,fit_score,intent_score,partner_score,risk_score,priority,decision_roles,suggested_channel,recommended_action,first_message_angle,objection_prediction,offer_recommended,next_action,next_action_date,status,owner,notes
Mnzil,Proptech,mnzil.co,SA,DIRECT_CUSTOMER,public_page,https://mnzil.co,public_page,,0 tools (SPA),,,45,0,18,15,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Logexa,Logistics,logexa.com,SA,DIRECT_CUSTOMER,public_page,https://logexa.com,public_page,,0 tools,,,41,0,14,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Nana,Grocery Delivery,nana.sa,SA,DIRECT_CUSTOMER,public_page,https://nana.sa,public_page,,0 tools,,,34,0,7,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Jahez,Food Delivery,jahez.net,SA,DIRECT_CUSTOMER,public_page,https://jahez.net,public_page,,0 tools,,,34,0,7,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
SiFi,Corporate Fintech,sifi.co,SA,DIRECT_CUSTOMER,public_page,https://sifi.co,public_page,,0 tools,,,43,0,16,15,BACKLOG,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Hakbah,Fintech,hakbah.sa,SA,DIRECT_CUSTOMER,public_page,https://hakbah.sa,public_page,WooCommerce; Google Tag Manager; Google Analytics 4; WordPress,4 tools,,,61,21,24,15,P2,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Merit Incentives,HR Tech,meritincentives.com,AE,DIRECT_CUSTOMER,public_page,https://meritincentives.com,public_page,Webflow,1 tool,,,40,3,11,15,BACKLOG,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Bayzat Saudi,HR SaaS,bayzat.com,AE-SA,DIRECT_CUSTOMER,public_page,https://bayzat.com,public_page,Google Tag Manager,1 tool,,,47,6,17,15,P2,Regional lead,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Peak Content,Marketing Agency,peakcontent.ae,AE,AGENCY_PARTNER,public_page,https://peakcontent.ae,public_page,,0 tools (SPA),,Marketing Agency,39,0,37,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
Digital8,Marketing Agency,digital8.ae,AE,AGENCY_PARTNER,public_page,https://digital8.ae,public_page,,0 tools (SPA),,Marketing Agency,39,0,37,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
Brand Lounge,Branding Agency,thebrandlounge.ae,AE,REFERRAL_PARTNER,public_page,https://thebrandlounge.ae,public_page,,0 tools (SPA),,Branding Agency,37,0,37,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,referral 10% من MRR لـ 12 شهر على كل عميل يجي عبرك — صفر setup.,value for effort,10% MRR × 12 months,PREPARE_PARTNER_PITCH,,queued,sami,
Qatar Digital,Digital Agency,qatardigital.qa,QA,AGENCY_PARTNER,public_page,https://qatardigital.qa,public_page,,0 tools,,Digital Agency,39,0,37,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
Wavy,Digital Marketing,wavy.sa,SA,AGENCY_PARTNER,public_page,https://wavy.sa,public_page,,0 tools (SPA),,Digital Marketing,34,0,32,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,Enterprise KSA — highest priority
Serviceplan,Integrated Marketing,serviceplan.com,DE-SA,AGENCY_PARTNER,public_page,https://serviceplan.com,public_page,,0 tools,,Integrated Marketing,29,0,27,15,BACKLOG,Lead,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
Intermarkets,B2B Marketing,intermarkets.com,AE,AGENCY_PARTNER,public_page,https://intermarkets.com,public_page,,0 tools,,B2B Marketing,31,0,29,15,BACKLOG,Lead,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
MSL Saudi,PR Marketing,mslgroup.com,Global-SA,REFERRAL_PARTNER,public_page,https://mslgroup.com,public_page,Google Analytics 4,1 tool,,PR Marketing,30,6,27,15,BACKLOG,Lead,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,referral 10% من MRR لـ 12 شهر على كل عميل يجي عبرك — صفر setup.,value for effort,10% MRR × 12 months,PREPARE_PARTNER_PITCH,,queued,sami,
Rekaz,SMB SaaS,rekaz.io,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,44,0,17,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Lucidya CTO,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,see Lucidya,,,44,0,17,15,BACKLOG,CTO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Secondary contact in Lucidya
Hatem Kameli,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,see Lucidya,,,44,0,17,15,BACKLOG,Co-founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Secondary contact in Lucidya
Mosab Alothmani,SaaS Restaurant,foodics.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,see Foodics,,,44,0,17,15,BACKLOG,Co-founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Secondary contact in Foodics
Yamamah,F&B Chain,yamamahgroup.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,15,BACKLOG,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Research franchising channel
Albaik,F&B Chain,albaik.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,15,BACKLOG,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Herfy,F&B Chain,herfy.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,75,BACKLOG,CEO,HOLD_FOR_APPROVAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Public company — governance heavy
AlMarai,F&B Supplier,almarai.com,SA,STRATEGIC_PARTNER,knowledge,,llm_knowledge,,unknown,,F&B Supplier,32,0,32,15,BACKLOG,Head of trade,PARTNER_INTRO,PREPARE_PARTNER_PITCH,Dealix + منتجك = offering مكمّل لعملائكم. add-on أو bundle — نناقش النسب.,product fit/brand alignment,Co-selling / bundle,PREPARE_PARTNER_PITCH,,queued,sami,
Dammam Hospitals,Healthcare,,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,15,BACKLOG,Owner,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Need specific names
Al Mouwasat Hospital,Healthcare,mouwasat.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,15,BACKLOG,Marketing head,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Dr Sulaiman AlHabib,Healthcare,hmg.com.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,15,BACKLOG,Marketing head,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Public company
Dar Al Hekma,Education,darwalhekma.edu.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,15,BACKLOG,Director of admissions,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Alfaisal University,Education,alfaisal.edu,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,15,BACKLOG,Director of admissions,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Alghanim Industries,Conglomerate,alghanim.com,KW-SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,29,0,2,15,BACKLOG,Digital director,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Complex organization
IKEA Saudi,Retail,ikea.com/sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,39,0,12,15,BACKLOG,Marketing head,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Enterprise — complex procurement
AppQuality,Recruitment,bayt.com,Global-SA,REFERRAL_PARTNER,knowledge,,llm_knowledge,,unknown,,Recruitment,27,0,27,15,BACKLOG,Regional BD,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,referral 10% من MRR لـ 12 شهر على كل عميل يجي عبرك — صفر setup.,value for effort,10% MRR × 12 months,PREPARE_PARTNER_PITCH,,queued,sami,
Naseeb,Recruitment,naseeb.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Tabby,BNPL Fintech,tabby.ai,AE-SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,43,0,16,15,BACKLOG,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Rewaa,POS SaaS,rewaa.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,44,0,17,15,BACKLOG,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Mocinno,Accelerator,mocinno.com,SA,REFERRAL_PARTNER,knowledge,,llm_knowledge,,unknown,,Accelerator,32,0,32,15,BACKLOG,Partnerships,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,referral 10% من MRR لـ 12 شهر على كل عميل يجي عبرك — صفر setup.,value for effort,10% MRR × 12 months,PREPARE_PARTNER_PITCH,,queued,sami,
Misk Foundation,Accelerator,misk.org.sa,SA,REFERRAL_PARTNER,knowledge,,llm_knowledge,,unknown,,Accelerator,32,0,32,15,BACKLOG,Startup program lead,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,referral 10% من MRR لـ 12 شهر على كل عميل يجي عبرك — صفر setup.,value for effort,10% MRR × 12 months,PREPARE_PARTNER_PITCH,,queued,sami,
Sanabil,Investor,sanabilinvestments.com,SA,INVESTOR_OR_ADVISOR,knowledge,,llm_knowledge,,unknown,,Investor,28,0,7,40,BACKLOG,Portfolio partner,EMAIL,PREPARE_INVESTOR_NOTE,Dealix = Arabic-first AI sales operator. نبحث عن portfolio introductions + advisory.,stage/fit,Advisory + portfolio intros,PREPARE_INVESTOR_NOTE,,queued,sami,
STV,Investor,stv.com,SA,INVESTOR_OR_ADVISOR,knowledge,,llm_knowledge,,unknown,,Investor,28,0,7,40,BACKLOG,Principal,EMAIL,PREPARE_INVESTOR_NOTE,Dealix = Arabic-first AI sales operator. نبحث عن portfolio introductions + advisory.,stage/fit,Advisory + portfolio intros,PREPARE_INVESTOR_NOTE,,queued,sami,
Wamda Capital,Investor,wamdacapital.com,AE-SA,INVESTOR_OR_ADVISOR,knowledge,,llm_knowledge,,unknown,,Investor,28,0,7,40,BACKLOG,Partner,EMAIL,PREPARE_INVESTOR_NOTE,Dealix = Arabic-first AI sales operator. نبحث عن portfolio introductions + advisory.,stage/fit,Advisory + portfolio intros,PREPARE_INVESTOR_NOTE,,queued,sami,
Raed Ventures,Investor,raedventures.com,SA,INVESTOR_OR_ADVISOR,knowledge,,llm_knowledge,,unknown,,Investor,28,0,7,40,BACKLOG,Partner,EMAIL,PREPARE_INVESTOR_NOTE,Dealix = Arabic-first AI sales operator. نبحث عن portfolio introductions + advisory.,stage/fit,Advisory + portfolio intros,PREPARE_INVESTOR_NOTE,,queued,sami,
Elm,IT Services,elm.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,75,BACKLOG,BD head,HOLD_FOR_APPROVAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Gov-heavy — slow cycle
Majarra,Content Platform,majarra.com,AE,CONTENT_COLLABORATION,knowledge,,llm_knowledge,,unknown,,Content Platform,25,0,4,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_DM,محتوى سعودي حول AI sales + GTM — تعاون podcast/newsletter/سلسلة.,audience fit/time,Content cross-promo,PREPARE_DM,,queued,sami,
Careem,Super App,careem.com,AE-SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,15,BACKLOG,Merchant head,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Large organization
Noon,E-commerce,noon.com,AE-SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,15,BACKLOG,Merchant head,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Enterprise — slow
Aramex,Logistics,aramex.com,AE-SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,41,0,14,15,BACKLOG,B2B sales head,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Almarai,F&B,almarai.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,15,BACKLOG,B2B sales head,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Alinma Bank,Banking,alinma.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,15,BACKLOG,Digital head,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Regulated — careful
STC Pay,Fintech,stcpay.com.sa,SA,STRATEGIC_PARTNER,knowledge,,llm_knowledge,,unknown,,Fintech,44,0,44,15,BACKLOG,BD head,PARTNER_INTRO,PREPARE_PARTNER_PITCH,Dealix + منتجك = offering مكمّل لعملائكم. add-on أو bundle — نناقش النسب.,product fit/brand alignment,Co-selling / bundle,PREPARE_PARTNER_PITCH,,queued,sami,
