company,sector,website,country,opportunity_type,source,source_url,source_type,signals,tech_stack,buying_intent_signals,partnership_signals,fit_score,intent_score,partner_score,risk_score,priority,decision_roles,suggested_channel,recommended_action,first_message_angle,objection_prediction,offer_recommended,next_action,next_action_date,status,owner,notes
Rekaz,SMB SaaS,rekaz.io,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,44,0,17,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Lucidya CTO,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,see Lucidya,,,44,0,17,15,BACKLOG,CTO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Secondary contact in Lucidya
Hatem Kameli,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,see Lucidya,,,44,0,17,15,BACKLOG,Co-founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Secondary contact in Lucidya
Mosab Alothmani,SaaS Restaurant,foodics.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,see Foodics,,,44,0,17,15,BACKLOG,Co-founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Secondary contact in Foodics
Rewaa,POS SaaS,rewaa.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,44,0,17,15,BACKLOG,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Oqua,Data SaaS,oqua.io,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,44,0,17,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Elkab,Retail SaaS,elkab.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,44,0,17,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Retailo,B2B Marketplace,retailo.co,SA,DIRECT_CUSTOMER,public_page,https://retailo.co,public_page,,0 tools (SPA),,,43,0,16,15,BACKLOG,Co-founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
SiFi,Corporate Fintech,sifi.co,SA,DIRECT_CUSTOMER,public_page,https://sifi.co,public_page,,0 tools,,,43,0,16,15,BACKLOG,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Tabby,BNPL Fintech,tabby.ai,AE-SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,43,0,16,15,BACKLOG,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Careem Pay,Fintech,careempay.com,AE,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,43,0,16,15,BACKLOG,Merchant head,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Haraj,Marketplace,haraj.com.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,43,0,16,15,BACKLOG,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Logexa,Logistics,logexa.com,SA,DIRECT_CUSTOMER,public_page,https://logexa.com,public_page,,0 tools,,,41,0,14,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Aramex,Logistics,aramex.com,AE-SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,41,0,14,15,BACKLOG,B2B sales head,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Ajar,Proptech,ajar.com,KW-SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,40,0,13,15,BACKLOG,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
