company,sector,website,country,opportunity_type,source,source_url,signals,tech_stack,fit_score,risk_score,priority,decision_role,channel,recommended_message,next_action,status,notes,priority_score_num,recommended_action
Raed Ventures,Investor,raedventures.com,SA,INVESTOR_OR_ADVISOR,knowledge,,Saudi VC,unknown,7,MEDIUM,BACKLOG,Partner,EMAIL,Portfolio intro,PREPARE_INVESTOR_NOTE,queued,,28,PREPARE_INVESTOR_NOTE
Elm,IT Services,elm.sa,SA,DIRECT_CUSTOMER,knowledge,,Saudi gov IT integrator,unknown,7,HIGH,BACKLOG,BD head,HOLD_FOR_APPROVAL,Public sector — complex,RESEARCH_MORE,queued,Gov-heavy — slow cycle,34,PREPARE_DM
Majarra,Content Platform,majarra.com,AE,CONTENT_COLLABORATION,knowledge,,Arabic content platform,unknown,4,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Content collab on Arabic SaaS,PREPARE_DM,queued,,25,PREPARE_DM
Careem,Super App,careem.com,AE-SA,DIRECT_CUSTOMER,knowledge,,Merchant services arm,unknown,7,LOW,BACKLOG,Merchant head,LINKEDIN_MANUAL,Merchant pre-qual at scale,RESEARCH_MORE,queued,Large organization,34,PREPARE_DM
Noon,E-commerce,noon.com,AE-SA,DIRECT_CUSTOMER,knowledge,,Regional marketplace,unknown,7,LOW,BACKLOG,Merchant head,LINKEDIN_MANUAL,Merchant support automation,RESEARCH_MORE,queued,Enterprise — slow,34,PREPARE_DM
Aramex,Logistics,aramex.com,AE-SA,DIRECT_CUSTOMER,knowledge,,Regional logistics,unknown,14,LOW,BACKLOG,B2B sales head,LINKEDIN_MANUAL,Quote automation,RESEARCH_MORE,queued,,41,PREPARE_DM
Almarai,F&B,almarai.com,SA,DIRECT_CUSTOMER,knowledge,,Dairy + F&B B2B,unknown,7,LOW,BACKLOG,B2B sales head,LINKEDIN_MANUAL,Wholesale supplier inquiries,RESEARCH_MORE,queued,,34,PREPARE_DM
Alinma Bank,Banking,alinma.com,SA,DIRECT_CUSTOMER,knowledge,,Islamic bank,unknown,7,LOW,BACKLOG,Digital head,LINKEDIN_MANUAL,SME banking,HOLD_FOR_APPROVAL,queued,Regulated — careful,34,PREPARE_DM
STC Pay,Fintech,stcpay.com.sa,SA,STRATEGIC_PARTNER,knowledge,,Saudi wallet,unknown,19,LOW,BACKLOG,BD head,PARTNER_INTRO,Payment integration partner,PREPARE_PARTNER_PITCH,queued,,44,PREPARE_PARTNER_PITCH
Tap Payments,Payment,tap.company,KW-SA,STRATEGIC_PARTNER,knowledge,,MENA payment gateway,unknown,2,LOW,BACKLOG,BD head,PARTNER_INTRO,Payment gateway partner,PREPARE_PARTNER_PITCH,queued,Moyasar alternative,27,PREPARE_PARTNER_PITCH
Hyperpay,Payment,hyperpay.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi payment gateway,unknown,7,LOW,BACKLOG,BD head,PARTNER_INTRO,Payment gateway partner,PREPARE_PARTNER_PITCH,queued,,32,PREPARE_PARTNER_PITCH
PayTabs,Payment,paytabs.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi payment gateway,unknown,7,LOW,BACKLOG,BD head,PARTNER_INTRO,Payment gateway partner,PREPARE_PARTNER_PITCH,queued,,32,PREPARE_PARTNER_PITCH
Ajar,Proptech,ajar.com,KW-SA,DIRECT_CUSTOMER,knowledge,,Kuwait-Saudi proptech,unknown,10,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,Proptech lead qualification,PREPARE_DM,queued,,37,PREPARE_DM
Yalla Real Estate,Real Estate,yalla.sa,SA,DIRECT_CUSTOMER,knowledge,,Saudi real estate,unknown,7,LOW,BACKLOG,Sales director,LINKEDIN_MANUAL,Sales team acceleration,RESEARCH_MORE,queued,,34,PREPARE_DM
Alfursan,Education,alfursan.sa,SA,DIRECT_CUSTOMER,knowledge,,Saudi education,unknown,7,LOW,BACKLOG,Director of admissions,LINKEDIN_MANUAL,Admissions funnel,RESEARCH_MORE,queued,,34,PREPARE_DM
Qureos,HR Tech,qureos.com,AE,DIRECT_CUSTOMER,knowledge,,Upskilling platform MENA,unknown,11,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,B2B upskilling sales,PREPARE_DM,queued,,38,PREPARE_DM
Oqua,Data SaaS,oqua.io,SA,DIRECT_CUSTOMER,knowledge,,Saudi data SaaS,unknown,17,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Peer SaaS founder,PREPARE_DM,queued,,44,PREPARE_DM
Unifonic,Comms SaaS,unifonic.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi SMS/communication platform,unknown,17,LOW,BACKLOG,BD head,PARTNER_INTRO,Comms platform partnership,PREPARE_PARTNER_PITCH,queued,Integration synergy,42,PREPARE_PARTNER_PITCH
Matajer,E-commerce,matajer.sa,SA,AGENCY_PARTNER,knowledge,,Saudi e-commerce implementer,unknown,7,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,E-commerce agency partner,PREPARE_PARTNER_PITCH,queued,,34,PREPARE_PARTNER_PITCH
Jarwal,Marketing Agency,jarwal.com,SA,AGENCY_PARTNER,knowledge,,Saudi digital agency,unknown,15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Agency partner,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Bold Studio,Creative Agency,boldstudio.sa,SA,AGENCY_PARTNER,knowledge,,Saudi creative agency,unknown,15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Creative + service exchange,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Netaq,Marketing Agency,netaq.com,SA,AGENCY_PARTNER,knowledge,,Saudi marketing agency,unknown,15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Agency partner,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Red Box,Agency,redbox.sa,SA,AGENCY_PARTNER,knowledge,,Saudi agency,unknown,15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Agency partner,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Elkab,Retail SaaS,elkab.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi SMB retail SaaS,unknown,17,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,SMB retailer onboarding,PREPARE_DM,queued,,44,PREPARE_DM
Tawkilat,B2B Platform,tawkilat.com,SA,DIRECT_CUSTOMER,knowledge,,B2B agent platform Saudi,unknown,7,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,B2B sales acceleration,PREPARE_DM,queued,,34,PREPARE_DM
Jar,Fintech,jar-app.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi savings/fintech,unknown,19,LOW,P2,Founder,LINKEDIN_MANUAL,B2B partnerships,PREPARE_DM,queued,,46,PREPARE_DM
Lamsa,Edtech,lamsaworld.com,AE,DIRECT_CUSTOMER,knowledge,,MENA kids Edtech,unknown,10,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Parent acquisition funnel,PREPARE_DM,queued,,37,PREPARE_DM
Raha,Digital Health,raha.co,SA,DIRECT_CUSTOMER,knowledge,,Saudi telehealth,unknown,7,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Booking heavy ops,PREPARE_DM,queued,,34,PREPARE_DM
Seha Virtual,Digital Health,sehavirtual.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi telehealth,unknown,7,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Booking heavy ops,PREPARE_DM,queued,,34,PREPARE_DM
Rawdah,Kids Education,rawdah.sa,SA,DIRECT_CUSTOMER,knowledge,,Saudi kids education,unknown,7,LOW,BACKLOG,Director,LINKEDIN_MANUAL,Parent admissions funnel,RESEARCH_MORE,queued,,34,PREPARE_DM
Unifiedpost,B2B SaaS,unifiedpost.com,Global-SA,DIRECT_CUSTOMER,knowledge,,Billing/e-invoicing platform,unknown,12,LOW,BACKLOG,Regional lead,LINKEDIN_MANUAL,KSA expansion,RESEARCH_MORE,queued,,39,PREPARE_DM
Wafeq,Accounting SaaS,wafeq.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi accounting SaaS,unknown,17,LOW,BACKLOG,Founder,PARTNER_INTRO,Accounting integration + referral,PREPARE_PARTNER_PITCH,queued,Integration synergy for invoicing,42,PREPARE_PARTNER_PITCH
Qoyod,Accounting SaaS,qoyod.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi accounting SaaS,unknown,17,LOW,BACKLOG,Founder,PARTNER_INTRO,Accounting integration partner,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Dafater,Accounting SaaS,dafater.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi accounting SaaS,unknown,17,LOW,BACKLOG,Founder,PARTNER_INTRO,Accounting integration,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Zamil Group,Conglomerate,zamil.com,SA,DIRECT_CUSTOMER,knowledge,,Industrial conglomerate,unknown,7,LOW,BACKLOG,Digital head,LINKEDIN_MANUAL,B2B lead qualification,RESEARCH_MORE,queued,Complex — research needed,34,PREPARE_DM
Alshaya,Retail,alshaya.com,KW-SA,DIRECT_CUSTOMER,knowledge,,Retail franchise,unknown,7,LOW,BACKLOG,Digital head,LINKEDIN_MANUAL,Multi-brand lead management,RESEARCH_MORE,queued,,34,PREPARE_DM
Careem Pay,Fintech,careempay.com,AE,DIRECT_CUSTOMER,knowledge,,Fintech arm of Careem,unknown,16,LOW,BACKLOG,Merchant head,LINKEDIN_MANUAL,Merchant lead response,RESEARCH_MORE,queued,,43,PREPARE_DM
Floward,B2C Delivery,floward.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi flower + gift,unknown,7,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,WhatsApp + booking heavy,PREPARE_DM,queued,,34,PREPARE_DM
Zoomly,B2B,zoomly.sa,SA,AGENCY_PARTNER,knowledge,,Saudi B2B agency,unknown,7,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Agency partner,PREPARE_PARTNER_PITCH,queued,,34,PREPARE_PARTNER_PITCH
Intelmatix,AI,intelmatix.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi AI B2B,unknown,7,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,Peer AI sales,PREPARE_DM,queued,,34,PREPARE_DM
STCS,IT Services,stcs.com.sa,SA,DIRECT_CUSTOMER,knowledge,,STC's IT arm,unknown,7,LOW,BACKLOG,BD head,LINKEDIN_MANUAL,Complex enterprise sales,RESEARCH_MORE,queued,Bureaucratic,34,PREPARE_DM
Haraj,Marketplace,haraj.com.sa,SA,DIRECT_CUSTOMER,knowledge,,Saudi classifieds,unknown,16,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,Vendor support automation,RESEARCH_MORE,queued,,43,PREPARE_DM
Yaqeen,Consulting,yaqeen.com,SA,AGENCY_PARTNER,knowledge,,Saudi B2B consulting,unknown,7,LOW,BACKLOG,Partner,LINKEDIN_MANUAL,Consulting partnership,PREPARE_PARTNER_PITCH,queued,,34,PREPARE_PARTNER_PITCH
Nohayati,Agency,nohayati.com,SA,AGENCY_PARTNER,knowledge,,Saudi content agency,unknown,15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Content + referral,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
NRG,Staffing,nrg.com.sa,SA,REFERRAL_PARTNER,knowledge,,Saudi staffing,unknown,7,LOW,BACKLOG,BD,LINKEDIN_MANUAL,Recruitment referral,RESEARCH_MORE,queued,,32,PREPARE_PARTNER_PITCH
Adel Al-Falih,Angel Investor,,SA,INVESTOR_OR_ADVISOR,knowledge,,Active Saudi angel (Lean),unknown,7,MEDIUM,BACKLOG,Angel,EMAIL,Portfolio intro + advisor role,PREPARE_INVESTOR_NOTE,queued,Father of Hisham Al-Falih,28,PREPARE_INVESTOR_NOTE
Abdullah Alzahrani,Content Creator,,SA,CONTENT_COLLABORATION,knowledge,,Saudi business content,unknown,7,LOW,BACKLOG,Creator,LINKEDIN_MANUAL,Content collab,PREPARE_DM,queued,,28,PREPARE_DM
Entlaq,Community,entlaq.com.sa,SA,CONTENT_COLLABORATION,knowledge,,Saudi startup community,unknown,7,LOW,BACKLOG,Community lead,LINKEDIN_MANUAL,Community partnership,PREPARE_PARTNER_PITCH,queued,,28,PREPARE_DM
Mansoor AlRoumi,Content Creator,,SA,CONTENT_COLLABORATION,knowledge,,Saudi tech content,unknown,7,LOW,BACKLOG,Creator,LINKEDIN_MANUAL,Content collab Arabic AI SaaS,PREPARE_DM,queued,,28,PREPARE_DM
Mahmoud Nouh,Content Creator,,SA,CONTENT_COLLABORATION,knowledge,,Saudi founder content,unknown,7,LOW,BACKLOG,Creator,LINKEDIN_MANUAL,Content collab,PREPARE_DM,queued,,28,PREPARE_DM
Misk Newsroom,Media,newsroom.misk.org.sa,SA,CONTENT_COLLABORATION,knowledge,,Saudi startup media,unknown,7,LOW,BACKLOG,Editor,LINKEDIN_MANUAL,Content coverage,PREPARE_DM,queued,,28,PREPARE_DM
Gate Ventures,Investor,gate.vc,SA,INVESTOR_OR_ADVISOR,knowledge,,Saudi VC,unknown,7,MEDIUM,BACKLOG,Principal,EMAIL,Portfolio intro,PREPARE_INVESTOR_NOTE,queued,,28,PREPARE_INVESTOR_NOTE
Arzan VC,Investor,arzanvc.com,KW-SA,INVESTOR_OR_ADVISOR,knowledge,,GCC VC,unknown,2,MEDIUM,BACKLOG,Partner,EMAIL,Portfolio intro,PREPARE_INVESTOR_NOTE,queued,,23,PREPARE_INVESTOR_NOTE
Vision Ventures,Investor,visionventures.com,SA,INVESTOR_OR_ADVISOR,knowledge,,Saudi early-stage VC,unknown,7,MEDIUM,BACKLOG,Partner,EMAIL,Portfolio intro,PREPARE_INVESTOR_NOTE,queued,,28,PREPARE_INVESTOR_NOTE
